,recall@50,recall@100,recall@500,recall@1000,recall@5000,recall@10000,recall@100000,HLA,hit@50,hit@100,hit@500,hit@1000,hit@5000,hit@10000,hit@100000,pos_num
0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,HLA-G*01:01,0,0,0,0,0,2,2,2
1,0.5,0.5,0.5,0.5,0.5,0.75,1.0,HLA-G*01:03,2,2,2,2,2,3,4,4
2,0.5,0.5,0.5,0.5,0.5,1.0,1.0,HLA-G*01:04,2,2,2,2,2,4,4,4
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HLA-E*01:01,0,0,0,0,0,0,0,0
4,0.2222222222222222,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.8888888888888888,1.0,1.0,HLA-E*01:03,2,3,7,7,8,9,9,9
