,recall@50,recall@100,recall@500,recall@1000,recall@5000,recall@10000,recall@100000,HLA,hit@50,hit@100,hit@500,hit@1000,hit@5000,hit@10000,hit@100000,pos_num
0,0.01785036080516521,0.03570072161033042,0.12571211545765287,0.18951766046334978,0.4812001519179643,0.6695784276490695,0.9863273832130649,HLA-G*01:01,47,94,331,499,1267,1763,2597,2633
1,0.05326231691078562,0.08388814913448735,0.1810918774966711,0.23435419440745672,0.5286284953395473,0.7043941411451398,0.9813581890812251,HLA-G*01:03,40,63,136,176,397,529,737,751
2,0.04926108374384237,0.07758620689655173,0.17857142857142858,0.24261083743842365,0.5258620689655172,0.7130541871921182,0.9889162561576355,HLA-G*01:04,40,63,145,197,427,579,803,812
3,0.20422535211267606,0.2887323943661972,0.4507042253521127,0.5774647887323944,0.7323943661971831,0.823943661971831,0.971830985915493,HLA-E*01:01,29,41,64,82,104,117,138,142
4,0.07753164556962025,0.15348101265822786,0.4920886075949367,0.5981012658227848,0.814873417721519,0.8765822784810127,0.9857594936708861,HLA-E*01:03,49,97,311,378,515,554,623,632
