,recall@50,recall@100,recall@500,recall@1000,recall@5000,recall@10000,recall@100000,HLA,hit@50,hit@100,hit@500,hit@1000,hit@5000,hit@10000,hit@100000,pos_num
0,0.003424657534246575,0.02054794520547945,0.09931506849315068,0.1678082191780822,0.4965753424657534,0.7191780821917808,0.9863013698630136,HLA-G*01:01,1,6,29,49,145,210,288,292
1,0.047619047619047616,0.047619047619047616,0.11904761904761904,0.21428571428571427,0.5476190476190477,0.6666666666666666,0.9523809523809523,HLA-G*01:03,2,2,5,9,23,28,40,42
2,0.017543859649122806,0.05263157894736842,0.19298245614035087,0.2631578947368421,0.5964912280701754,0.6842105263157895,1.0,HLA-G*01:04,1,3,11,15,34,39,57,57
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,HLA-E*01:01,3,3,3,3,3,3,3,3
4,0.11538461538461539,0.23076923076923078,0.5769230769230769,0.6923076923076923,0.9230769230769231,1.0,1.0,HLA-E*01:03,3,6,15,18,24,26,26,26
