,recall@50,recall@100,recall@500,recall@1000,recall@5000,recall@10000,recall@100000,HLA,hit@50,hit@100,hit@500,hit@1000,hit@5000,hit@10000,hit@100000,pos_num
0,0.00303951367781155,0.012664640324214792,0.09473150962512665,0.157548125633232,0.46048632218844987,0.6499493414387031,0.9903748733535968,HLA-G*01:01,6,25,187,311,909,1283,1955,1974
1,0.027914614121510674,0.05582922824302135,0.15435139573070608,0.20853858784893267,0.5238095238095238,0.7110016420361248,0.9885057471264368,HLA-G*01:03,17,34,94,127,319,433,602,609
2,0.022082018927444796,0.052050473186119876,0.15141955835962145,0.21608832807570977,0.5126182965299685,0.7129337539432177,0.9921135646687698,HLA-G*01:04,14,33,96,137,325,452,629,634
3,0.1484375,0.2265625,0.3984375,0.5390625,0.703125,0.8046875,0.96875,HLA-E*01:01,19,29,51,69,90,103,124,128
4,0.05238095238095238,0.12142857142857143,0.49523809523809526,0.6,0.8261904761904761,0.8809523809523809,0.9880952380952381,HLA-E*01:03,22,51,208,252,347,370,415,420
